Name,"Team","Position","DateStart","DateEnd","NumberOfGames","Minutes","Goal","Assist","ChanceAssist","KeyPass","KeyLoss","DuelLossInBox","DuelLossOutBox","MissBlockShot","RescueAction","Finalization","KeyIndividualAction","KeyRecover","DuelWinInBox","BlockShot","PktOff","PktDef"
Jakub Wójkiewicz (09),U-17,LW/PW,2025-10-18,2025-10-19,2,90,0,2,0,2,0,0,0,0,0,2,2,0,0,0,8,0
Jakub Wójkiewicz (09),U-17,LW/PW,2025-10-25,2025-10-26,1,60,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
Jakub Wójkiewicz (09),U-17,LW/PW,2025-10-29,2025-10-29,1,45,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
Jakub Wójkiewicz (09),U-17,LW/PW,2025-11-14,2025-11-16,1,60,0,2,0,0,0,0,0,0,0,0,2,2,0,0,4,2
Jakub Wójkiewicz (09),U-17,LW/PW,2025-12-06,2025-12-07,1,60,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
Jakub Wójkiewicz (09),U-17,LW/PW,2025-12-13,2025-12-14,2,105,3,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0
Jan Kubat (09),U-17,ŚO,2025-09-20,2025-09-21,1,90,0,0,0,0,-2,0,-2,0,0,1,0,4,2,0,-1,4
Jan Kubat (09),U-17,ŚO,2025-09-29,2025-09-30,1,90,0,2,0,2,0,0,0,0,0,3,0,4,2,1,7,7
Jan Kubat (09),U-17,ŚO,2025-10-04,2025-10-05,1,90,3,0,0,2,0,0,0,0,0,0,2,0,2,0,7,2
Jan Kubat (09),U-17,ŚO,2025-10-11,2025-10-12,1,90,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2
Jan Kubat (09),U-17,ŚO,2025-10-18,2025-10-19,2,135,3,0,0,0,0,0,0,-1,0,0,2,0,4,1,5,4
Jan Kubat (09),U-17,ŚO,2025-10-25,2025-10-26,1,90,6,0,0,0,-4,0,0,0,0,0,2,2,2,0,4,4
Jan Kubat (09),U-17,ŚO,2025-11-08,2025-11-09,1,90,6,2,0,2,0,0,0,0,0,0,0,0,0,1,10,1
Jan Kubat (09),U-17,ŚO/LŚO/PŚO,2025-11-14,2025-11-16,1,90,6,2,0,0,0,-2,0,0,0,0,0,0,0,1,8,-1
Jan Kubat (09),U-17,ŚO/LŚO/PŚO,2025-11-21,2025-11-23,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan Kubat (09),U-17,ŚO/LŚO/PŚO,2025-12-06,2025-12-07,1,45,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
Jan Kubat (09),U-17,ŚO/LŚO/PŚO,2025-12-13,2025-12-14,2,180,0,0,0,0,0,-2,-1,0,0,1,0,2,2,0,1,1
Kacper Cecuła (09),U-19,PŚO,2025-09-20,2025-09-21,1,90,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,1,-1
Kacper Cecuła (09),U-19,PŚO,2025-09-29,2025-09-30,1,90,9,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1
Kacper Cecuła (09),U-19,PŚO,2025-10-04,2025-10-05,1,90,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
